GeneName,RNA_CDK8i_1,RNA_CDK8i_2,RNA_CDK8i_3,RNA_M12e2_1,RNA_M12e2_2,RNA_M12e2_3,RNA_M12WT_1,RNA_M12WT_2,RNA_M12WT_3,RNA_Veh_1,RNA_Veh_2,RNA_Veh_3
ENSG00000237491,0.731666179,0.519678928,0.575809516,0.433602499,0.320210252,0.426266529,0.554322071,0.510662873,0.438935653,0.585997433,0.580278225,0.487745095
ENSG00000225880,0.46793862,0.359673198,0.394286247,0.085143258,0.116641904,0.109886686,0.254863731,0.28908115,0.316031795,0.476656691,0.573307504,0.424823019
ENSG00000228794,1.901235984,1.897975315,1.974266125,1.999333491,2.117307106,2.088053273,2.379884137,2.576837155,2.325737884,2.080250012,1.806796252,1.965761291
ENSG00000230699,0.111387229,0.106507858,0.090341863,0.085982659,0.214549424,0.083227519,0.012256017,0.062556667,0.037302949,0.061888616,0.039700085,0.026265993
ENSG00000223764,0.586292604,0.294224603,0.286916646,0.720190566,0.490228899,0.304987162,0.080841892,0.146712861,0.127583514,0.385544316,0.189125198,0.186086631
ENSG00000187634,1.345998794,0.855667234,0.629019899,1.271198144,0.503270694,0.372526151,0.162911336,0.308852316,0.129863923,0.920579486,0.537130996,0.507079814
ENSG00000188976,66.17809466,62.53237466,64.49922216,32.19532678,32.41385126,22.08435224,29.0401861,32.03023315,29.2372332,60.96234269,66.13979254,62.48162369
ENSG00000187961,17.18127955,12.79229962,10.96762038,5.636960199,4.355132132,2.312548315,3.064895891,4.306227738,3.109483757,16.84496322,12.51663856,10.66483643
ENSG00000187583,3.045482622,1.988850392,2.328925839,1.095081151,1.084485619,0.536381235,0.500251413,0.631621394,0.547597113,2.647968409,2.1001632,1.645758077
ENSG00000272512,1.580571484,0.932224579,1.215380519,0.716738071,0.312978858,0.364230115,0.411211105,0.401526234,0.380915687,1.835722368,1.679488668,1.558188689
ENSG00000188290,13.50513548,9.811855046,9.644537023,6.954026118,6.938889168,2.459476337,2.968926904,3.67779485,3.249026828,16.08697147,12.69665875,8.102361844
ENSG00000231702,1.000446692,0.971338897,0.595043913,0.970854296,3.241925394,2.349363076,1.210878549,0.741662093,0.73709659,2.241988793,2.157274237,0.865015331
ENSG00000187608,63.62109267,50.84387615,52.97146189,39.0601583,24.30654872,8.243587908,9.127060929,11.2984379,9.792015453,60.96569807,62.8674011,57.29443033
ENSG00000188157,7.835220193,5.324152081,4.708496104,2.905161432,2.042328605,1.221031003,1.494437576,1.847673618,1.459893487,9.758362528,7.328635237,5.803580543
ENSG00000217801,2.52641591,2.227830561,2.251171811,2.496450532,1.733590974,1.316552335,1.820947161,2.2446865,1.969438792,3.45540972,2.740563033,2.847099745
ENSG00000237330,0.826236416,0.602958705,0.610269361,0.884334946,0.524980558,0.342399287,0.725508515,0.820689529,0.616701563,1.138675696,0.92098143,0.882479362
ENSG00000131591,3.177882044,2.145283334,2.232214715,1.519474506,1.142046383,0.6180735,0.530932512,0.758790006,0.6404027,3.033529285,2.727815604,2.237765379
ENSG00000272141,3.590255503,2.576459202,2.754364021,1.931380354,0.972754483,0.366567288,0.604580495,0.848615728,0.26835195,4.102362473,3.427159071,2.726332006
ENSG00000186891,15.24943649,10.19078667,7.825913297,6.848066048,4.70943817,2.033485209,3.920064629,4.112886233,3.590431563,19.5887634,14.96864883,13.82685965
ENSG00000078808,26.36411794,23.2474326,25.41465531,21.09798952,20.6824005,12.76179611,9.234665356,11.658485,9.682382255,24.74900434,25.46857165,25.31289457
ENSG00000176022,2.791221196,2.651097891,3.149706124,4.38952669,4.991327588,4.184103764,3.044494638,2.917080311,2.92621804,3.303983485,3.503543121,3.462662872
ENSG00000184163,0.412224189,0.208453442,0.187291785,0.104174722,0.107035527,0.040334662,0.020788773,0.106109218,0.126547241,0.454896277,0.471377648,0.193061393
ENSG00000160087,9.148651863,8.074014082,8.317060437,8.876455717,8.753452601,6.779946728,6.893887237,7.102138571,7.074479534,9.851999141,9.242583254,9.204996756
ENSG00000230415,0.540592247,0.340189516,0.5358875,0.14572277,0.224586824,0.211580067,0.363499603,0.667929604,0.442545321,0.673033673,0.706475773,0.675150367
ENSG00000162572,0.528235853,0.22917967,0.280791736,0.250733675,0.133580337,0.098877542,0.092658532,0.17025982,0.159811087,0.795418633,0.345163878,0.218435176
ENSG00000131584,2.501059943,1.672634774,1.619342646,1.192324577,0.863214974,0.484647813,0.762074092,0.998368611,0.829000069,3.816140307,2.753102165,2.371177
ENSG00000169972,12.93707401,10.36706219,10.98364838,6.682668228,5.554666498,3.081639442,3.326437592,4.206426895,4.210936965,11.99270341,12.13412588,11.21788302
ENSG00000127054,13.09397288,11.07034862,11.05884044,8.125826048,5.4616401,3.846896261,6.052507193,7.077128563,5.942624548,13.39520117,12.60981904,11.92428895
ENSG00000240731,2.155366499,2.71270293,2.374009392,1.065173042,0.994931269,1.687159183,1.25605122,1.08495301,1.666423896,2.683416639,2.582022532,2.139680408
ENSG00000224051,4.822184366,3.716245334,3.848074796,2.91009397,2.103524482,1.288105405,1.006791507,1.608675525,1.06584859,5.980391077,4.962743549,4.596764567
ENSG00000107404,35.45438432,28.03489507,26.40975352,14.08908433,11.84299283,5.251628467,6.526100454,9.512536158,7.619624986,38.09580154,38.84826377,32.55792642
ENSG00000162576,0.054845016,0.059165901,0.027183851,0.166321079,0.136710817,0.064396662,0,0.056469872,0.044897805,0.074489097,0.080633804,0.05532403
ENSG00000175756,56.23649321,49.48862072,53.91689683,31.03999765,31.59327046,15.2177917,20.64747442,21.89880643,22.12673573,56.21226066,57.38168512,54.75355278
ENSG00000221978,22.36533342,20.40441715,18.29160054,18.07372754,16.54730093,17.17698917,16.22212309,17.41229447,16.28097365,23.36982203,20.39231725,18.242395
ENSG00000224870,10.7512558,9.11340287,8.9398769,9.044709316,7.270209052,5.258665439,6.321697183,6.905730789,5.814256821,11.53580927,10.9444289,10.84691541
ENSG00000242485,36.00832995,34.99107855,40.59232487,31.1839932,38.08752489,28.45880907,35.06110131,34.19377924,36.04617353,30.88122441,35.08743097,35.52966699
ENSG00000272455,2.872983355,2.193537916,1.945451076,3.141411667,2.748571123,2.755681024,2.865083348,2.499802195,2.708011239,2.205186614,1.923557724,1.836808653
ENSG00000225285,0.76038651,0.234369276,0.430725088,0.219611577,0.270770954,0.170059654,0.131474945,0.178951762,0.266775264,0.922087048,0.390388052,0.469608793
ENSG00000179403,6.491269475,6.078938624,6.688066446,4.117840638,3.161818893,1.25005597,1.332755328,1.77393663,1.479141113,6.066870366,6.028442161,5.886066411
ENSG00000215915,2.929477002,2.708804248,2.727284599,1.504140458,1.632377927,0.928163863,0.694123337,0.526649725,0.675671874,2.873534932,3.01562631,2.646825078
ENSG00000160072,10.55096802,9.437624669,9.887497868,4.23082213,3.772032531,2.129345285,2.979561398,3.680423152,2.89593593,9.046083332,10.07247713,8.754741117
ENSG00000197785,37.60101795,30.77183057,32.63570591,15.05346123,13.50221257,7.179451465,9.478705202,11.28885909,9.727561443,35.33561353,36.45083507,33.09257216
ENSG00000160075,14.08418089,14.39000042,13.69149123,19.18474624,20.70919742,17.40355189,15.5693818,15.33260216,16.20019166,14.64727461,15.22889355,15.39255578
ENSG00000215014,0.272152917,0.195729395,0.32973647,0.183404761,0.188441349,0.142022341,0.109798997,0.074724215,0.334189033,0.277223344,0.296387039,0.156874223
ENSG00000228594,2.57150787,1.757727414,1.465016188,3.603336195,2.06296732,0.78086744,0.715492745,0.967777138,0.798491845,3.161365493,2.332132436,2.185066064
ENSG00000272106,0.786219539,0.795150667,0.929257324,1.027066664,0.791453667,0.816628461,1.043090471,0.896690577,0.872604697,1.093492081,1.155909454,0.862808226
ENSG00000197530,3.532317428,2.206738974,1.815244792,1.048814992,0.762216993,0.317768306,0.36159234,0.573229422,0.466118797,3.580226201,2.993657849,2.306562836
ENSG00000189409,0.216902829,0.131620053,0.134384459,0.065777194,0.03379177,0.031834748,0,0,0.016646557,0.289988872,0.279031511,0.09377025
ENSG00000248333,21.34320369,20.71744838,21.00131129,12.27618892,13.27587969,11.38577907,12.78517529,13.14882377,12.81401994,21.71076049,22.80094131,20.80325943
ENSG00000189339,4.893019097,4.736575981,4.497533874,6.175268925,5.556058928,5.220351105,3.56194148,3.772987714,3.662332374,5.507982224,4.57098441,4.849682356
ENSG00000008128,1.165253652,1.138766053,0.927983644,0.492336776,0.367154369,0.292085675,0.364472643,0.444860699,0.35369779,1.326998253,1.129280586,0.894308605
ENSG00000268575,0.309411629,0.279793031,0.198465129,0.316449948,0.257087576,0.334803897,0.242318755,0.224878839,0.2085949,0.296636438,0.172446021,0.278017528
ENSG00000215790,0.799877906,0.696953761,0.683128155,0.835927261,0.398767181,0.65020312,0.417037404,0.608178713,0.498658795,1.266043192,0.79605487,0.723517615
ENSG00000008130,13.63851809,12.87462005,13.27055949,10.83474772,9.490377034,7.284817671,7.945958176,8.678819202,8.256214061,14.4271601,14.70176461,14.60916827
ENSG00000078369,58.20214803,61.09692602,60.88917303,72.93132068,66.98235734,68.13907558,64.28420946,65.31165218,64.83811559,65.75582625,65.72977846,66.36496771
ENSG00000169885,0.238969257,0.128898053,0.23688952,0.338188582,0.11582526,0.093529146,0.064274122,0.16403269,0.130418354,0.135234137,0.195186381,0.126267641
ENSG00000178821,8.099726878,6.162375461,6.534532837,5.885728034,5.035450765,2.996101168,4.281678704,5.588986862,4.011642794,9.727474589,8.583082315,8.657967748
ENSG00000142609,0.177498607,0.229779094,0.225807435,0.161482821,0.176978558,0.15283491,0.161124968,0.113309486,0.141673135,0.316409709,0.240663658,0.232763534
ENSG00000187730,6.78128184,4.978386881,4.822147114,4.552560616,3.332525666,1.494111405,1.871576421,2.547419964,2.096596049,7.219367991,6.820279448,5.974710176
ENSG00000067606,4.382365282,4.022397988,4.056210809,3.832751201,3.606065582,2.866555236,3.223512198,3.450211537,3.186169831,4.229713274,4.350710221,4.103136103
ENSG00000182873,0.130566772,0.249694462,0.200028886,0.287965257,0.192317608,0.139368996,0.10056449,0.102659442,0.087452138,0.350634611,0.23267981,0.256572344
ENSG00000162585,2.824786263,1.924753847,1.708066367,1.880758301,1.391046175,0.878159985,0.828624357,0.899198359,0.936050281,2.979969795,2.503662557,2.146420229
ENSG00000157933,8.265993332,6.983149171,7.566061644,8.016573858,8.059859662,7.723994803,6.26287098,6.506051799,6.403769088,9.488627571,9.120160688,8.66756743
ENSG00000116151,0.938750693,0.712060884,0.621598889,0.671672194,0.6946877,0.486535954,0.417200473,0.530099075,0.423269873,0.945034429,0.661327911,0.596071019
ENSG00000269896,0.5120691,0.590390032,0.609135106,0.6522108,0.765853201,0.781624409,0.30988832,0.41124706,0.282956896,0.638971463,0.526995119,0.730537251
ENSG00000157916,18.95936978,19.52739197,19.91585309,19.68339066,19.59725191,17.28794529,19.63977139,19.30610359,20.38856058,19.76910799,21.22913962,20.11653141
ENSG00000157911,8.283604001,6.60954403,7.1799152,6.728272737,6.134838271,4.349931823,4.345422311,4.898827156,4.421417841,6.593461132,6.558521675,6.703357574
ENSG00000149527,0.100035389,0.057812429,0.07083199,0.131746576,0.089055623,0.067118433,0.038052653,0.045908157,0.024567607,0.145570184,0.086843244,0.098849725
ENSG00000157881,5.830285791,5.365154092,5.388628945,3.098265771,2.782594938,2.592949333,2.614105358,2.893441061,2.503138802,6.11194661,5.988039415,5.576087405
ENSG00000272449,0.340312589,0.300373876,0.337350866,0.187640012,0.115675744,0,0.074889677,0.038224887,0.075979167,0.441194582,0.545816373,0.401242051
ENSG00000157870,12.1008004,11.80982822,12.96316027,12.12044563,9.492048701,6.293147454,8.994953038,9.068551697,8.673478279,14.7089474,15.09189341,13.91842241
ENSG00000142606,0.110727057,0.089587896,0.094082918,0.287817431,0.118288543,0.120724458,0.134017154,0.185669343,0.174814489,0.257805693,0.186048291,0.136768338
ENSG00000177133,0.159571247,0.111299249,0.13636423,0.100119349,0.116584625,0.038764491,0.039958992,0.033992846,0.020270156,0.100889496,0.075504598,0.057091012
ENSG00000142611,0.86417295,0.701743471,0.731593396,0.543261048,0.538525643,0.518446959,0.320653529,0.416960354,0.356301074,0.84493375,0.717177761,0.605386778
ENSG00000130762,6.923817657,5.736422894,5.540265648,3.601392997,3.113492807,1.990138156,2.4201899,2.997578733,2.734266623,8.965537066,7.790695563,6.886909042
ENSG00000162591,2.648433535,1.746128516,1.449385741,0.743415919,0.452842847,0.287837863,0.238425582,0.421880241,0.2257679,2.532788022,1.651897732,1.343667797
ENSG00000158109,16.21104921,16.72052208,16.94305786,20.60893625,16.49764201,16.02179974,14.12083025,14.32036644,14.26356201,15.45987798,16.15185359,17.00747706
ENSG00000116213,9.539135529,9.111433069,8.81339019,5.667636456,4.126295566,3.373455508,5.076326458,5.417397474,5.229792715,9.617789905,9.397363469,8.650744847
ENSG00000078900,3.271370444,2.591529687,2.723493904,3.012117442,2.146509413,1.899152438,1.924586086,2.144821412,1.907826423,4.153795591,3.478816032,3.498227901
ENSG00000235169,0.645990736,0.287464726,0.192110613,0.391801786,0.120768387,0.113774187,0,0.239446462,0.118986242,0.789631273,0.728136587,0.446833915
ENSG00000130764,22.16560805,21.17477954,22.20816191,16.78992834,19.61931952,14.92084276,15.09313017,15.7677257,15.03429105,22.22664013,22.40269581,23.65522933
ENSG00000116198,3.325507159,3.469325892,3.661126792,3.288836724,3.798500038,4.230822277,3.575135828,3.615775342,3.896180018,3.590711864,3.55090188,3.754843083
ENSG00000169598,4.211320155,4.280171934,4.554904777,3.150366798,3.177123103,3.143247954,4.323363982,3.900009085,4.13113073,4.55026045,4.331332246,4.484171278
ENSG00000198912,8.988516492,9.619014732,10.56704691,9.702237271,8.778386513,8.616294436,9.128280242,8.719769226,9.442160278,8.598037241,9.381291473,9.089284607
ENSG00000131697,1.930686598,1.68138195,1.586783767,0.73523761,0.676677185,0.535819649,0.6373045,0.798045761,0.586228867,1.885606736,1.669851828,1.509477045
ENSG00000069424,2.3011247,1.96958653,2.083028825,1.668331215,1.456816793,1.176941274,1.305911512,1.592333204,1.304463672,2.954588927,2.607940086,2.173896736
ENSG00000116254,2.934940357,2.334290732,2.155795762,1.557097152,1.370751717,1.371847499,1.135067023,1.151013573,1.021501098,2.710335492,2.009384254,1.866858769
ENSG00000116251,49.66674724,51.21546224,50.88645528,52.92404152,60.23996141,56.21958717,68.14340123,63.51806066,67.96100755,47.94653177,52.50189128,54.37239221
ENSG00000226944,0.652143029,0.791461323,0.969701191,1.285483003,0.507994008,0.382859168,0.690649247,0.604317261,0.400398147,0.498219732,0.479394275,0.845792768
ENSG00000158286,4.131898011,4.013195685,3.423332359,2.928928085,2.840230369,2.994412194,2.231473557,2.850340137,2.120286044,4.494872597,3.132552202,2.540846246
ENSG00000116237,30.70707095,31.83657203,32.97803654,29.36181735,29.0887508,29.33469284,28.66630425,28.89904219,29.63048225,29.27188057,31.8749351,33.87555068
ENSG00000225077,0.51203871,0.443875935,0.489454518,0.842943522,1.139594866,0.858876947,0.48693846,0.813407446,0.808400295,0.577461802,0.358478805,0.395288905
ENSG00000158292,1.177595851,0.769551689,0.79319752,1.263632747,0.874964299,0.584981046,0.758326782,0.727490206,0.760089477,1.261050042,0.984038371,1.318417291
ENSG00000097021,29.4091244,26.67396154,27.42983768,23.2656738,20.69375688,12.49148472,13.92084593,15.72843144,14.60291003,27.46115464,29.91784818,27.62277574
ENSG00000069812,2.507500197,2.088728935,2.101527382,3.145356043,2.613796872,2.067630689,1.862338823,1.865928735,2.057381492,2.339430511,2.089048993,1.852703817
ENSG00000187017,4.401965443,2.851687732,2.988397707,2.792653285,1.859933086,0.986172167,1.488534857,2.483157126,1.786444205,7.53949894,5.453824476,5.349243015
ENSG00000215788,2.69758015,2.335295719,1.652798508,2.470871263,1.783969155,1.440558921,1.094673768,1.622772307,1.207172822,3.21248726,2.204626351,1.917605195
ENSG00000171680,4.696949034,4.112150323,3.47448371,3.778639192,2.645338252,2.21638791,1.555301582,2.064011973,1.648662691,6.228821324,4.642761896,3.91170033
ENSG00000162408,6.730606973,7.684760624,8.318049746,6.703726946,7.619784736,7.793648793,7.491740284,7.506858346,7.133790522,5.745615048,6.124848532,6.904466259
ENSG00000204859,5.056932542,4.512278664,4.856904432,3.718697511,2.635341598,2.450579251,2.252777289,2.654808806,2.277147758,5.290555833,5.211376671,4.697784347
ENSG00000162413,9.262606445,9.946248174,11.1191434,7.100118008,5.654133243,5.353800433,5.272749765,5.696528254,5.695498565,10.05163911,11.06646106,10.63302263
ENSG00000116273,11.50179398,11.21591646,11.30211632,11.52510339,11.22604655,10.23188786,9.057805767,9.163754648,8.860644577,12.68815826,12.20052569,12.2608932
ENSG00000041988,5.350031183,4.444972742,4.973409755,3.304528619,3.121767891,1.741482689,2.106548046,2.477671087,2.081441057,4.994921987,5.01386134,4.737021085
ENSG00000007923,20.47465566,20.68786406,21.47152431,17.2401616,17.84044951,16.68773544,18.42652727,18.65505193,17.95210415,20.29507322,21.79320599,21.89579509
ENSG00000237436,0.297000078,0.360448651,0.147207651,0.450336029,0.740324761,0.958993024,0.808808515,0.642178101,0.455874999,0,0.218326549,0.898782194
ENSG00000171735,3.593351637,3.657777199,3.562078879,4.083142416,4.922554591,4.64828732,4.211631835,3.935079334,3.978739589,3.306782634,3.455767122,3.35122096
ENSG00000269978,1.500295338,0.466873253,0.457611798,1.399920988,1.29452855,1.084050678,0.55872748,1.283325419,0.991997657,0.23511493,0.226231006,0.4989227
ENSG00000049245,37.76918248,39.50123245,40.68318105,49.33610676,53.16775718,52.14666713,52.60495142,50.39020655,51.50578147,36.15288161,39.01070911,39.37487103
ENSG00000269925,0.548845564,1.141879314,1.321310401,0.570654815,1.856698709,1.380923335,0.854085328,1.840630435,0.866510495,1.597345705,1.613838742,1.355851002
ENSG00000049246,0.871762855,0.949724126,0.80353202,0.997176626,1.038856886,1.328866689,1.069010882,1.237729334,1.154988923,1.273585395,0.933150265,1.16038066
ENSG00000049247,1.313429958,1.020732088,1.507578071,0.230598314,0.172313391,0.121750504,1.882532439,2.391510147,2.207017943,1.285088361,1.117959279,1.210342258
ENSG00000049249,0,0.010915513,0,0.147285908,0.033629025,0.190088571,0,0.016668996,0.049699157,0.027484976,0,0.01166483
ENSG00000116288,105.9648761,115.6999568,112.5484476,111.8529861,111.9125422,99.07666925,121.6873838,117.7737951,122.6684119,97.5157562,106.3931294,111.9495118
ENSG00000116285,67.45754401,72.33930025,74.61266897,63.07630618,69.69847683,75.77442374,105.7109123,103.4382974,109.7887703,75.2828344,73.80908175,79.14456321
ENSG00000238290,0.135677017,0.097577423,0.074720126,0.073146557,0.169099375,0.141605446,0.164215036,0.204888386,0.185115582,0.138204789,0.177310211,0.130344776
ENSG00000232848,1.733273893,1.58935327,1.489097391,0.607390719,1.104124976,1.040180502,0.466188241,0.475899843,0.709455467,1.333983332,1.094816675,1.798366872
ENSG00000162426,2.059229679,1.320792191,1.004789063,0.750664004,0.385639218,0.47605515,0.632776283,1.041442869,0.786100241,2.010647844,1.631401293,1.37455968
ENSG00000142599,3.691329102,2.915086292,3.005964102,2.817232979,2.453898551,2.676635909,2.087978631,2.200979887,2.223614227,3.495420935,3.06928194,3.182366059
ENSG00000234619,21.35421534,25.95403755,19.86855844,27.43696209,36.36156257,30.07684602,33.83761461,40.50211428,31.74220207,22.32448415,22.21533469,20.64994045
ENSG00000224315,0.175327215,0.035463772,0.086900676,2.817963286,1.201843006,0.97784301,1.485436217,1.787162994,1.23793083,0,0.171845458,0.11369476
ENSG00000074800,643.7101502,688.4756681,691.3891092,549.9403912,462.2396882,404.8927228,587.6280404,610.7774092,582.3820391,688.9147818,756.9154752,732.917043
ENSG00000236269,0.579828781,0.335094512,0.615838458,0.1004782,0.103237492,0.145887868,0.150383304,0.307032157,0.508570228,0.590631456,0.20296935,0.537146617
ENSG00000230679,0.540592247,0.492059836,0.736845313,0.819690579,0.757980532,0.6347402,1.553960805,0.584438403,0.995726972,0.757162882,0.397392623,0.817970637
ENSG00000238249,2.156548346,1.811945775,2.220002323,5.433125385,10.54439675,10.03111632,5.722256745,4.714162642,5.296248981,2.238971312,2.438910308,2.83277968
ENSG00000180758,2.867996845,3.095494813,2.968130432,1.356792372,1.2796683,1.515365424,2.041092226,2.083612119,2.02852494,2.979858523,2.456851039,2.58886271
ENSG00000234546,1.032339104,0.885874222,0.868300965,0.872783227,1.013718804,1.065203604,0.60580807,0.811687042,0.614621319,0.796645764,0.459926487,0.297530146
ENSG00000049239,3.613285871,2.736234891,2.415202017,2.907302921,1.940612319,2.26684173,2.288678675,2.434385206,2.585834898,4.798592042,3.240193039,3.009819033
ENSG00000171621,6.093934529,6.014803707,5.008650553,6.667169986,5.518579393,4.933179194,4.307069736,4.631737524,4.681057918,6.88079076,5.999542573,6.004929816
ENSG00000171612,8.482978034,8.804134438,9.00357743,8.020631901,9.82529479,8.486479762,10.11243824,9.364879107,10.55408583,7.500831215,8.06375004,7.853100259
ENSG00000231181,20.78137174,17.03694831,21.20158847,35.37192131,22.94642557,19.54636457,28.22148495,23.15648609,31.54263545,16.11504646,19.23408729,19.44566843
ENSG00000188807,6.524543251,5.744297269,6.049924001,3.541792121,2.807271302,1.783748392,1.929054792,2.338134309,2.118863864,5.876834688,5.641865395,5.102234627
ENSG00000171608,3.023889199,2.374744107,2.265553207,1.978596048,1.368879348,1.1963115,1.402878008,1.507172565,1.279810459,3.199246256,2.785184029,2.52564009
ENSG00000231789,7.416303866,6.265946196,6.115623485,6.727224148,5.030601362,3.236566641,4.726423917,4.905974951,4.634000923,7.086499189,7.429845454,7.178429672
ENSG00000171603,30.04327557,30.02577031,30.37524874,31.43400567,28.29030417,26.71047048,19.27481659,21.21045963,19.085573,31.62498817,30.01711858,30.29448942
ENSG00000178585,5.714786127,4.362744103,4.294473865,5.322128574,4.227579925,3.149397454,4.707901595,4.509873473,4.708480996,7.924421054,5.971706786,5.56280155
ENSG00000162441,10.66120714,11.31361646,12.10007872,10.8974222,13.76889374,14.88934093,14.50660258,13.00883811,14.46015251,9.623206912,11.12016147,11.77536199
ENSG00000173614,2.031970165,1.979340043,2.073919499,2.205376613,2.582504895,2.589905239,2.580721024,2.758360911,2.651096063,2.314938537,2.102991414,2.190346412
ENSG00000202415,0.482974265,0.859690748,0.478770964,1.171720702,1.685457234,0.226835056,0.350737235,0.954783384,0.118613244,0.098394492,0.946766123,0.417593608
ENSG00000162444,45.12909287,47.86410613,50.27072881,48.57823384,52.90076134,45.38281845,56.83056657,53.54840508,55.19634949,37.36647989,44.61874519,43.75430391
ENSG00000130939,7.271912059,7.782082429,8.01738123,7.655515404,7.72708907,9.009421835,7.634470019,7.747691096,7.704137855,8.066744361,8.14524441,8.540748741
ENSG00000054523,3.67821495,3.65940707,3.974223843,3.749830748,3.76164208,5.075410331,3.948095071,4.159450161,3.949928969,4.252340469,4.083128901,4.321703225
ENSG00000142657,64.11516113,70.77551159,73.24776015,57.03929724,52.33212971,48.39999111,57.9243668,58.290602,57.06071347,60.62773227,66.76597086,67.9546878
ENSG00000175279,2.480631559,2.574257734,2.181064002,3.218397282,3.400874969,2.570731134,1.892818901,1.878946527,2.17198827,1.944574109,2.230517359,2.461887524
ENSG00000160049,25.56024966,26.48216202,26.69394668,18.30511907,19.21377251,19.28116813,18.59684172,17.93787387,18.79310607,18.82701794,20.02205898,19.31197017
ENSG00000142655,11.64646884,10.54678369,9.954087951,8.473985833,6.975614276,4.433432466,4.93116644,6.279653352,5.078706251,10.22855922,10.58829091,10.89717143
ENSG00000130940,0.511025628,0.367279666,0.471548855,0.398970072,0.342169993,0.344694837,0.22042775,0.211585675,0.160215772,0.451324844,0.506205846,0.394842566
ENSG00000215785,0.561384257,0.403741404,1.051163943,0.378318729,1.01064071,0.659153284,0.301984286,0.231206401,0.536160677,0.571843295,0.489098612,0.701117689
ENSG00000120948,51.92738248,59.29076164,59.91481964,54.06935852,66.6633656,67.07660318,69.33717972,66.92663302,65.69600607,52.06633343,58.44990322,57.88483463
ENSG00000009724,0.101480267,0.087971177,0.043113038,0.035170915,0.027102574,0,0.008773244,0.008956007,0.008900876,0.095987288,0.071046435,0.075208108
ENSG00000271895,1.593815074,2.235195944,1.685273794,4.554087794,5.164722525,4.78243909,3.300827089,4.944982275,4.523118382,2.705848544,1.839882165,2.021153062
ENSG00000116649,51.80542787,46.22355137,51.01660296,37.92930289,32.334113,18.77633746,28.39376223,29.42655719,26.83321557,47.99131754,49.77415879,51.67067445
ENSG00000171824,19.53129261,22.36857182,22.14466048,22.58364291,24.96954294,25.94631415,27.93867762,27.1571298,25.93103264,20.5173907,22.31303638,20.69085546
ENSG00000226849,0.103401873,0.02788706,0.034167324,0.111492589,0.286385884,0.121410038,0.222491032,0.170344463,0.141079884,0.011703148,0.011260939,0.029801423
ENSG00000230337,0.919813675,0.558157426,0.284940182,1.813106623,0.859798813,1.215006427,0.347901673,0.639268446,0.282370335,0.585594088,0.225386861,0.596473258
ENSG00000198793,9.48897972,10.01437926,10.44483164,8.370624185,8.220222466,9.72945323,9.450707744,9.839216488,9.419598516,10.49455733,10.30984481,10.77438371
ENSG00000120942,5.390285508,5.420855965,6.238945265,5.405893237,4.367908806,4.406835589,4.887546144,5.026820851,5.040549405,4.595150585,5.526900937,5.216304569
ENSG00000238199,5.358914452,7.13130197,7.409227177,4.447712357,7.03054407,7.948051194,6.486097272,7.143942721,6.926796326,6.105186874,7.049399565,6.584409601
