GeneName,ComparisonName,Log2FoldChange,PValue,AdjustedPValue
ENSG00000182873,RNA_M12e2.vs.RNA_M12WT,0.978489506,0.0289175,0.128267531
ENSG00000162585,RNA_M12e2.vs.RNA_M12WT,0.570293295,0.046130092,0.170053962
ENSG00000157933,RNA_M12e2.vs.RNA_M12WT,0.310426725,0.006887801,0.053714095
ENSG00000116151,RNA_M12e2.vs.RNA_M12WT,0.421864591,0.050529313,0.179426564
ENSG00000269896,RNA_M12e2.vs.RNA_M12WT,1.125346103,0.00100757,0.015844426
ENSG00000157916,RNA_M12e2.vs.RNA_M12WT,-0.072459757,0.433866548,0.639277785
ENSG00000157911,RNA_M12e2.vs.RNA_M12WT,0.308205922,0.096516741,0.262378589
ENSG00000149527,RNA_M12e2.vs.RNA_M12WT,1.35217236,0.005322264,0.045978527
ENSG00000157881,RNA_M12e2.vs.RNA_M12WT,0.078490899,0.535961804,0.721559106
ENSG00000272449,RNA_M12e2.vs.RNA_M12WT,-0.012896464,0.988736576,0.995202496
ENSG00000157870,RNA_M12e2.vs.RNA_M12WT,0.009170427,0.96479107,0.984052552
ENSG00000142606,RNA_M12e2.vs.RNA_M12WT,-0.022950397,0.953144717,0.977889437
ENSG00000177133,RNA_M12e2.vs.RNA_M12WT,1.248616002,0.040466858,0.156643587
ENSG00000142611,RNA_M12e2.vs.RNA_M12WT,0.553274934,0.005865248,0.048422003
ENSG00000130762,RNA_M12e2.vs.RNA_M12WT,0.054361288,0.796417587,0.892736689
ENSG00000162591,RNA_M12e2.vs.RNA_M12WT,0.690706178,0.091953443,0.254912854
ENSG00000158109,RNA_M12e2.vs.RNA_M12WT,0.30450857,0.028226219,0.126457837
ENSG00000116213,RNA_M12e2.vs.RNA_M12WT,-0.289967359,0.115673662,0.293419398
ENSG00000078900,RNA_M12e2.vs.RNA_M12WT,0.21219454,0.247249544,0.463886463
ENSG00000235169,RNA_M12e2.vs.RNA_M12WT,1.153316928,0.231549322,0.446391357
ENSG00000130764,RNA_M12e2.vs.RNA_M12WT,0.150858455,0.216925606,0.429606233
ENSG00000116198,RNA_M12e2.vs.RNA_M12WT,0.022108434,0.862169905,0.931026175
ENSG00000169598,RNA_M12e2.vs.RNA_M12WT,-0.383031609,0.00782431,0.057882214
ENSG00000198912,RNA_M12e2.vs.RNA_M12WT,-0.012654408,0.899893843,0.950601829
ENSG00000131697,RNA_M12e2.vs.RNA_M12WT,-0.0555181,0.749987729,0.86624575
ENSG00000069424,RNA_M12e2.vs.RNA_M12WT,0.023878665,0.880461931,0.940784831
ENSG00000116254,RNA_M12e2.vs.RNA_M12WT,0.376174411,0.012925805,0.078550658
ENSG00000116251,RNA_M12e2.vs.RNA_M12WT,-0.239620081,0.021240054,0.106822148
ENSG00000226944,RNA_M12e2.vs.RNA_M12WT,0.18482013,0.722272666,0.84881556
ENSG00000158286,RNA_M12e2.vs.RNA_M12WT,0.293778314,0.056207184,0.191063568
ENSG00000116237,RNA_M12e2.vs.RNA_M12WT,0.008638079,0.915307312,0.958649331
ENSG00000225077,RNA_M12e2.vs.RNA_M12WT,0.445838299,0.122596417,0.303876353
ENSG00000158292,RNA_M12e2.vs.RNA_M12WT,0.205312323,0.44893848,0.651803717
ENSG00000097021,RNA_M12e2.vs.RNA_M12WT,0.301874636,0.16620402,0.366787995
ENSG00000069812,RNA_M12e2.vs.RNA_M12WT,0.414206842,0.031132025,0.133624151
ENSG00000187017,RNA_M12e2.vs.RNA_M12WT,-0.124005632,0.724219571,0.850080475
ENSG00000215788,RNA_M12e2.vs.RNA_M12WT,0.519149923,0.047236132,0.172635799
ENSG00000171680,RNA_M12e2.vs.RNA_M12WT,0.686513203,0.007969524,0.058450119
ENSG00000162408,RNA_M12e2.vs.RNA_M12WT,-0.005011105,0.961585742,0.981938584
ENSG00000204859,RNA_M12e2.vs.RNA_M12WT,0.271417796,0.148492673,0.342441705
ENSG00000162413,RNA_M12e2.vs.RNA_M12WT,0.10858126,0.395857915,0.607662782
ENSG00000116273,RNA_M12e2.vs.RNA_M12WT,0.281121343,0.016172472,0.090545706
ENSG00000041988,RNA_M12e2.vs.RNA_M12WT,0.238603747,0.330028198,0.549189515
ENSG00000007923,RNA_M12e2.vs.RNA_M12WT,-0.089934256,0.307220549,0.527043305
ENSG00000237436,RNA_M12e2.vs.RNA_M12WT,0.134404752,0.755032559,0.868904582
ENSG00000171735,RNA_M12e2.vs.RNA_M12WT,0.166000293,0.157055723,0.353793295
ENSG00000269978,RNA_M12e2.vs.RNA_M12WT,0.450360677,0.277833019,0.496128587
ENSG00000049245,RNA_M12e2.vs.RNA_M12WT,-0.000412441,0.996160814,0.998295553
ENSG00000269925,RNA_M12e2.vs.RNA_M12WT,0.032274264,0.949123873,0.975602944
ENSG00000049246,RNA_M12e2.vs.RNA_M12WT,-0.050528417,0.750908704,0.866596031
ENSG00000049247,RNA_M12e2.vs.RNA_M12WT,-3.58818786,8.43E-07,0.000147861
ENSG00000049249,RNA_M12e2.vs.RNA_M12WT,2.267971663,0.033801629,0.140681174
ENSG00000116288,RNA_M12e2.vs.RNA_M12WT,-0.169164975,0.068648188,0.214734682
ENSG00000116285,RNA_M12e2.vs.RNA_M12WT,-0.61763723,0.000108429,0.003716661
ENSG00000238290,RNA_M12e2.vs.RNA_M12WT,-0.572319996,0.175292422,0.37806282
ENSG00000232848,RNA_M12e2.vs.RNA_M12WT,0.689784424,0.080265527,0.235262678
ENSG00000162426,RNA_M12e2.vs.RNA_M12WT,-0.628679472,0.055693834,0.190108202
ENSG00000142599,RNA_M12e2.vs.RNA_M12WT,0.284476058,0.023320121,0.113093948
ENSG00000234619,RNA_M12e2.vs.RNA_M12WT,-0.180436694,0.238908832,0.454470545
ENSG00000224315,RNA_M12e2.vs.RNA_M12WT,0.004888361,0.990086174,0.995901319
ENSG00000074800,RNA_M12e2.vs.RNA_M12WT,-0.341997023,0.00819676,0.05936304
ENSG00000236269,RNA_M12e2.vs.RNA_M12WT,-1.164752095,0.062781565,0.203918093
ENSG00000230679,RNA_M12e2.vs.RNA_M12WT,-0.388607631,0.367554862,0.582564965
ENSG00000238249,RNA_M12e2.vs.RNA_M12WT,0.664565815,0.033941263,0.14102821
ENSG00000180758,RNA_M12e2.vs.RNA_M12WT,-0.570494788,0.001687833,0.021957701
ENSG00000234546,RNA_M12e2.vs.RNA_M12WT,0.532737608,0.064229984,0.206471541
ENSG00000049239,RNA_M12e2.vs.RNA_M12WT,-0.057583064,0.714683412,0.844032042
ENSG00000171621,RNA_M12e2.vs.RNA_M12WT,0.31799734,0.040158326,0.155817794
ENSG00000171612,RNA_M12e2.vs.RNA_M12WT,-0.194824811,0.118699409,0.298007206
ENSG00000231181,RNA_M12e2.vs.RNA_M12WT,-0.126919259,0.571364198,0.747839939
ENSG00000188807,RNA_M12e2.vs.RNA_M12WT,0.294945418,0.220498159,0.433037131
ENSG00000171608,RNA_M12e2.vs.RNA_M12WT,0.085295935,0.660965684,0.808546774
ENSG00000231789,RNA_M12e2.vs.RNA_M12WT,0.007055519,0.977384268,0.990291689
ENSG00000171603,RNA_M12e2.vs.RNA_M12WT,0.534037554,0.000305567,0.007170425
ENSG00000178585,RNA_M12e2.vs.RNA_M12WT,-0.167119324,0.366131688,0.581196622
ENSG00000162441,RNA_M12e2.vs.RNA_M12WT,-0.097434348,0.494952249,0.689115838
ENSG00000173614,RNA_M12e2.vs.RNA_M12WT,-0.119660171,0.361264257,0.577111937
ENSG00000202415,RNA_M12e2.vs.RNA_M12WT,1.003939428,0.262190561,0.480201865
ENSG00000162444,RNA_M12e2.vs.RNA_M12WT,-0.176952569,0.10330714,0.273971569
ENSG00000130939,RNA_M12e2.vs.RNA_M12WT,0.074292892,0.485554125,0.681178852
ENSG00000054523,RNA_M12e2.vs.RNA_M12WT,0.04666946,0.73737847,0.857785509
ENSG00000142657,RNA_M12e2.vs.RNA_M12WT,-0.139702075,0.140971098,0.332390557
ENSG00000175279,RNA_M12e2.vs.RNA_M12WT,0.617866116,0.003065695,0.032787047
ENSG00000160049,RNA_M12e2.vs.RNA_M12WT,0.036504906,0.672312909,0.817263979
ENSG00000142655,RNA_M12e2.vs.RNA_M12WT,0.243233359,0.297623341,0.518032769
ENSG00000130940,RNA_M12e2.vs.RNA_M12WT,0.877966876,0.001032646,0.016135398
ENSG00000215785,RNA_M12e2.vs.RNA_M12WT,0.838318429,0.124643137,0.307359178
ENSG00000120948,RNA_M12e2.vs.RNA_M12WT,-0.112834769,0.310022039,0.530136068
ENSG00000009724,RNA_M12e2.vs.RNA_M12WT,0.381915068,0.675024492,0.818883764
ENSG00000271895,RNA_M12e2.vs.RNA_M12WT,0.200090749,0.304850741,0.525271814
ENSG00000116649,RNA_M12e2.vs.RNA_M12WT,0.010867213,0.961447138,0.981938584
ENSG00000171824,RNA_M12e2.vs.RNA_M12WT,-0.143669115,0.156377356,0.353212402
ENSG00000226849,RNA_M12e2.vs.RNA_M12WT,-0.153217188,0.717963229,0.846327919
ENSG00000230337,RNA_M12e2.vs.RNA_M12WT,1.553960471,0.006242496,0.050290756
ENSG00000198793,RNA_M12e2.vs.RNA_M12WT,-0.130203547,0.225143792,0.438738885
ENSG00000120942,RNA_M12e2.vs.RNA_M12WT,-0.08460292,0.482320596,0.678551596
ENSG00000238199,RNA_M12e2.vs.RNA_M12WT,-0.123271965,0.608617788,0.774163719
ENSG00000204624,RNA_M12e2.vs.RNA_M12WT,1.290395276,0.00455233,0.041652811
ENSG00000116661,RNA_M12e2.vs.RNA_M12WT,0.801023555,0.008181181,0.059293941
ENSG00000132879,RNA_M12e2.vs.RNA_M12WT,0.004102998,0.984833951,0.993403876
ENSG00000116663,RNA_M12e2.vs.RNA_M12WT,-0.194135227,0.4210086,0.628136321
ENSG00000116670,RNA_M12e2.vs.RNA_M12WT,0.330786984,0.060088828,0.19885504
ENSG00000162490,RNA_M12e2.vs.RNA_M12WT,2.387800557,5.13E-07,0.000115188
ENSG00000177674,RNA_M12e2.vs.RNA_M12WT,-0.064558293,0.840235129,0.918418286
ENSG00000215910,RNA_M12e2.vs.RNA_M12WT,2.265622944,0.017431418,0.094938012
ENSG00000177000,RNA_M12e2.vs.RNA_M12WT,0.374927157,0.063774918,0.205798872
ENSG00000011021,RNA_M12e2.vs.RNA_M12WT,0.172969935,0.201751435,0.411334575
ENSG00000242349,RNA_M12e2.vs.RNA_M12WT,-0.116074253,0.708550118,0.840568851
ENSG00000224904,RNA_M12e2.vs.RNA_M12WT,-0.495793339,0.293056665,0.512914449
ENSG00000116685,RNA_M12e2.vs.RNA_M12WT,0.068494388,0.661296322,0.80880695
ENSG00000083444,RNA_M12e2.vs.RNA_M12WT,0.176861066,0.276242501,0.49445721
ENSG00000116688,RNA_M12e2.vs.RNA_M12WT,-0.12326614,0.152595714,0.348053601
ENSG00000116691,RNA_M12e2.vs.RNA_M12WT,-0.0413977,0.908798618,0.954836506
ENSG00000120949,RNA_M12e2.vs.RNA_M12WT,0.981619032,0.09106422,0.25359313
ENSG00000028137,RNA_M12e2.vs.RNA_M12WT,0.723755466,0.43791717,0.642868179
ENSG00000048707,RNA_M12e2.vs.RNA_M12WT,-0.316019756,0.091388743,0.254095633
ENSG00000162496,RNA_M12e2.vs.RNA_M12WT,0.250223625,0.080944848,0.236823444
ENSG00000272482,RNA_M12e2.vs.RNA_M12WT,0.009077656,0.984104619,0.993183823
ENSG00000179172,RNA_M12e2.vs.RNA_M12WT,-0.125116377,0.358844072,0.57497605
ENSG00000179412,RNA_M12e2.vs.RNA_M12WT,0.287883434,0.265148636,0.483725094
ENSG00000204486,RNA_M12e2.vs.RNA_M12WT,-0.8635505,0.028794181,0.127971817
ENSG00000116731,RNA_M12e2.vs.RNA_M12WT,-0.055230273,0.714932452,0.844123131
ENSG00000189337,RNA_M12e2.vs.RNA_M12WT,0.087050868,0.419876877,0.627137298
ENSG00000235829,RNA_M12e2.vs.RNA_M12WT,0.542288148,0.246854329,0.463523376
ENSG00000175147,RNA_M12e2.vs.RNA_M12WT,-0.228091251,0.375226461,0.589258785
ENSG00000171729,RNA_M12e2.vs.RNA_M12WT,0.155948138,0.259310066,0.476793578
ENSG00000142621,RNA_M12e2.vs.RNA_M12WT,0.080291833,0.592355958,0.762680279
ENSG00000142634,RNA_M12e2.vs.RNA_M12WT,0.502155558,0.033497356,0.14007272
ENSG00000132906,RNA_M12e2.vs.RNA_M12WT,-0.315979759,0.063524708,0.20534707
ENSG00000116138,RNA_M12e2.vs.RNA_M12WT,-0.120905894,0.303778969,0.524044013
ENSG00000235084,RNA_M12e2.vs.RNA_M12WT,-0.186274999,0.551553221,0.733263445
ENSG00000197312,RNA_M12e2.vs.RNA_M12WT,-0.163615999,0.323995844,0.543220548
ENSG00000116786,RNA_M12e2.vs.RNA_M12WT,0.497404634,0.048272236,0.174767739
ENSG00000162461,RNA_M12e2.vs.RNA_M12WT,-0.610054268,0.240473766,0.456275174
ENSG00000162458,RNA_M12e2.vs.RNA_M12WT,0.896251358,0.01774745,0.095868444
ENSG00000224321,RNA_M12e2.vs.RNA_M12WT,-0.273091815,0.07821865,0.231431643
ENSG00000233954,RNA_M12e2.vs.RNA_M12WT,-0.358461869,0.009649814,0.065947111
ENSG00000178715,RNA_M12e2.vs.RNA_M12WT,-0.517483706,0.097074482,0.263457219
ENSG00000179743,RNA_M12e2.vs.RNA_M12WT,0.141153377,0.615196825,0.779000763
ENSG00000065526,RNA_M12e2.vs.RNA_M12WT,0.901248419,0.000104605,0.003633795
ENSG00000116809,RNA_M12e2.vs.RNA_M12WT,0.342478924,0.194237346,0.402300508
ENSG00000186510,RNA_M12e2.vs.RNA_M12WT,0.215614095,0.661317087,0.80880695
ENSG00000232456,RNA_M12e2.vs.RNA_M12WT,0.358366644,0.270506385,0.488732952
ENSG00000184908,RNA_M12e2.vs.RNA_M12WT,0.180379155,0.653295418,0.803618419
ENSG00000185519,RNA_M12e2.vs.RNA_M12WT,-0.905505614,0.025479404,0.11929463
ENSG00000142627,RNA_M12e2.vs.RNA_M12WT,0.812359945,0.000640593,0.011780788
ENSG00000142632,RNA_M12e2.vs.RNA_M12WT,-0.201038125,0.362356814,0.577787275
ENSG00000237276,RNA_M12e2.vs.RNA_M12WT,0.510197676,0.220685628,0.433232026
ENSG00000204377,RNA_M12e2.vs.RNA_M12WT,0.058839037,0.863949359,0.932323982
ENSG00000132881,RNA_M12e2.vs.RNA_M12WT,-0.623041084,0.070634959,0.218364697
ENSG00000233929,RNA_M12e2.vs.RNA_M12WT,0.204445884,0.66453005,0.811340506
ENSG00000037637,RNA_M12e2.vs.RNA_M12WT,0.062225947,0.565841011,0.74319134
ENSG00000055070,RNA_M12e2.vs.RNA_M12WT,0.085411975,0.474382395,0.672090598
ENSG00000226457,RNA_M12e2.vs.RNA_M12WT,-0.18081235,0.72464369,0.85041366
ENSG00000157191,RNA_M12e2.vs.RNA_M12WT,0.096963394,0.409613569,0.618530031
ENSG00000226029,RNA_M12e2.vs.RNA_M12WT,-0.851547912,0.202365889,0.411838047
ENSG00000080947,RNA_M12e2.vs.RNA_M12WT,0.025624518,0.92743379,0.964489092
ENSG00000261135,RNA_M12e2.vs.RNA_M12WT,-0.39545797,0.072044619,0.22102911
ENSG00000224174,RNA_M12e2.vs.RNA_M12WT,-0.25973018,0.402897859,0.613292788
ENSG00000219481,RNA_M12e2.vs.RNA_M12WT,0.21167982,0.076888862,0.229579529
ENSG00000215908,RNA_M12e2.vs.RNA_M12WT,0.106860474,0.437536371,0.642632515
ENSG00000186301,RNA_M12e2.vs.RNA_M12WT,0.388351974,0.047570536,0.173243706
ENSG00000236698,RNA_M12e2.vs.RNA_M12WT,-0.069858969,0.645492848,0.798521448
ENSG00000268869,RNA_M12e2.vs.RNA_M12WT,0.033108109,0.881962348,0.941037727
ENSG00000058453,RNA_M12e2.vs.RNA_M12WT,0.37406342,0.191535717,0.398998495
ENSG00000207389,RNA_M12e2.vs.RNA_M12WT,-0.16835917,0.762881138,0.87351597
ENSG00000186715,RNA_M12e2.vs.RNA_M12WT,0.271643174,0.287538812,0.507381065
ENSG00000207005,RNA_M12e2.vs.RNA_M12WT,0.349725038,0.15608033,0.35277341
ENSG00000117122,RNA_M12e2.vs.RNA_M12WT,0.607387671,0.003968824,0.038343176
ENSG00000159363,RNA_M12e2.vs.RNA_M12WT,0.133518167,0.617535621,0.780357879
ENSG00000117118,RNA_M12e2.vs.RNA_M12WT,-0.382055999,0.003612699,0.036221041
ENSG00000117115,RNA_M12e2.vs.RNA_M12WT,-0.125940537,0.486910752,0.682175196
ENSG00000142619,RNA_M12e2.vs.RNA_M12WT,0.445551417,0.219411547,0.432112924
ENSG00000179051,RNA_M12e2.vs.RNA_M12WT,-0.009988753,0.906399156,0.95348861
ENSG00000074964,RNA_M12e2.vs.RNA_M12WT,0.432454789,0.057340877,0.193510682
ENSG00000117148,RNA_M12e2.vs.RNA_M12WT,0.838235216,0.14711279,0.340615621
ENSG00000179023,RNA_M12e2.vs.RNA_M12WT,1.105452729,0.011555173,0.07349584
ENSG00000159423,RNA_M12e2.vs.RNA_M12WT,0.611108174,0.047633696,0.173382769
ENSG00000169991,RNA_M12e2.vs.RNA_M12WT,0.360203898,0.004191617,0.039642411
ENSG00000272084,RNA_M12e2.vs.RNA_M12WT,0.284131214,0.643539526,0.797259987
ENSG00000127481,RNA_M12e2.vs.RNA_M12WT,-0.038014655,0.795456303,0.892570684
ENSG00000230424,RNA_M12e2.vs.RNA_M12WT,0.311512901,0.423723258,0.63067206
ENSG00000127463,RNA_M12e2.vs.RNA_M12WT,0.09986969,0.339612456,0.55804637
ENSG00000053372,RNA_M12e2.vs.RNA_M12WT,-0.251882046,0.015175907,0.087197101
ENSG00000211454,RNA_M12e2.vs.RNA_M12WT,-0.214671324,0.489624394,0.684513718
ENSG00000162482,RNA_M12e2.vs.RNA_M12WT,-0.2049176,0.398323045,0.609541327
ENSG00000053371,RNA_M12e2.vs.RNA_M12WT,0.059769312,0.781407275,0.883520717
ENSG00000040487,RNA_M12e2.vs.RNA_M12WT,0.40556056,0.130649392,0.316761476
ENSG00000077549,RNA_M12e2.vs.RNA_M12WT,0.176676896,0.062730259,0.203886319
ENSG00000173436,RNA_M12e2.vs.RNA_M12WT,-0.232775837,0.088247238,0.248746269
ENSG00000226396,RNA_M12e2.vs.RNA_M12WT,0.390962022,0.050467298,0.179310454
ENSG00000158747,RNA_M12e2.vs.RNA_M12WT,0.289362691,0.429447341,0.635292252
ENSG00000162542,RNA_M12e2.vs.RNA_M12WT,0.077611178,0.61735141,0.780220002
ENSG00000169914,RNA_M12e2.vs.RNA_M12WT,-0.408631248,0.015118617,0.086978547
ENSG00000162545,RNA_M12e2.vs.RNA_M12WT,0.118603376,0.318071342,0.537674432
ENSG00000090432,RNA_M12e2.vs.RNA_M12WT,0.070675646,0.645283493,0.798492436
ENSG00000158825,RNA_M12e2.vs.RNA_M12WT,-0.677722189,0.005859682,0.048418182
ENSG00000158828,RNA_M12e2.vs.RNA_M12WT,-0.261028665,0.127035935,0.311421967
ENSG00000117242,RNA_M12e2.vs.RNA_M12WT,0.689628633,0.000175423,0.00508183
ENSG00000244038,RNA_M12e2.vs.RNA_M12WT,-0.07292821,0.6058824,0.772134455
ENSG00000117245,RNA_M12e2.vs.RNA_M12WT,-0.491705616,0.253982492,0.470683135
ENSG00000189410,RNA_M12e2.vs.RNA_M12WT,-0.499133287,0.011628061,0.073750276
ENSG00000127483,RNA_M12e2.vs.RNA_M12WT,0.212955627,0.073246421,0.223165702
ENSG00000075151,RNA_M12e2.vs.RNA_M12WT,-0.052441634,0.659383871,0.807466713
ENSG00000117298,RNA_M12e2.vs.RNA_M12WT,0.518706971,0.000711276,0.012563106
ENSG00000236216,RNA_M12e2.vs.RNA_M12WT,0.173242297,0.710181948,0.841560658
ENSG00000227001,RNA_M12e2.vs.RNA_M12WT,0.024251164,0.917148632,0.959487702
ENSG00000187952,RNA_M12e2.vs.RNA_M12WT,1.000747474,0.030981996,0.133343398
ENSG00000142794,RNA_M12e2.vs.RNA_M12WT,-0.167981016,0.135829118,0.324276128
ENSG00000162551,RNA_M12e2.vs.RNA_M12WT,-0.308559475,0.46270134,0.662287456
ENSG00000076864,RNA_M12e2.vs.RNA_M12WT,-0.26213591,0.171090056,0.372545284
ENSG00000090686,RNA_M12e2.vs.RNA_M12WT,0.092708409,0.480435167,0.676771649
ENSG00000142798,RNA_M12e2.vs.RNA_M12WT,1.072844141,0.003811882,0.03744005
ENSG00000232037,RNA_M12e2.vs.RNA_M12WT,0.416186493,0.070865264,0.218674728
